time,r1_r3_latency_ms,ospf_path,ospf_latency_ms,plsr_path,plsr_latency_ms,ospf_delivered,plsr_delivered,sent_packets,ospf_control_bytes,plsr_control_bytes
1,10.0,R0->R1->R3,20.0,R0->R1->R3,20.0,40,40,40,5,5
2,10.0,R0->R1->R3,20.0,R0->R1->R3,20.0,40,40,40,5,5
3,10.0,R0->R1->R3,20.0,R0->R1->R3,20.0,40,40,40,5,5
4,15.0,R0->R1->R3,25.0,R0->R1->R3,25.0,40,40,40,5,25
5,20.0,R0->R1->R3,30.0,R0->R1->R3,30.0,40,40,40,5,35
6,25.0,R0->R1->R3,35.0,R0->R1->R3,35.0,40,40,40,5,45
7,30.0,R0->R1->R3,40.0,R0->R2->R3,50.0,40,40,40,5,80
8,35.0,R0->R1->R3,45.0,R0->R2->R3,50.0,28,40,40,5,12
9,40.0,R0->R1->R3,50.0,R0->R2->R3,50.0,28,40,40,5,5
10,45.0,R0->R1->R3,55.0,R0->R2->R3,50.0,22,40,40,150,5
11,50.0,R0->R1->R3,60.0,R0->R2->R3,50.0,22,40,40,5,5
12,55.0,R0->R1->R3,65.0,R0->R2->R3,50.0,22,40,40,5,5
13,60.0,R0->R1->R3,70.0,R0->R2->R3,50.0,22,40,40,5,5
14,65.0,R0->R1->R3,75.0,R0->R2->R3,50.0,22,40,40,5,5
